StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q108_1,Q108_2,Q108_3,Q108_4,Q108_5,Q108_6,Q108_7,Q108_8,Q108_9,Q108_10,Q108_11,Q108_12,Q100,Q14,Q20,Q22,Q101_1_1,Q101_2_1,Q101_3_1,Q101_4_1,Q101_5_1,Q101_6_1,Q101_7_1,Q101_8_1,Q101_9_1,Q101_10_1,Q101_11_1,Q101_12_1,Q13,Q13_9_TEXT,Q81,Q82,Q102,Q103,Q106,AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,True,Do,Domain,FalseNeutralTrue,Textbook,Fact
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,"Explaining Belief Study

	

	This HIT is a psychology experiment sponsored by the Concepts and Cognition Lab at the University of California, Berkeley. In order to consent to participate, you MUST meet the following criteria:
	
		

		* 18 years of age or older.
	
		* Fluent speaker of English.
	
		* Have not participated in this experiment before.
	
		

		The experiment investigates how multiple pieces of information are integrated, and involves reading information and answering a few questions. The study takes about 7 minutes to complete, for which you will receive $0.40.
	
		

		
			By selecting the “consent” button below, I acknowledge that I am 18 or older, that I am a fluent speaker of English, that I have not completed this experiment before,  that I have read this consent form, and that I agree to take part in the research.",Consider the following claims and indicate how much you agree with each one. - Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,Consider the following claims and indicate how much you agree with each one. - Some infections are caused by exposure to particular types of fungus that can be transferred from person to person.,Consider the following claims and indicate how much you agree with each one. - Humans evolved via natural selection and share common ancestry with many other species.,"Consider the following claims and indicate how much you agree with each one. - Because human activity puts harmful pollutants into the atmosphere, the average temperature of the Earth is increasing.",Consider the following claims and indicate how much you agree with each one. - There is a God.,Consider the following claims and indicate how much you agree with each one. - There are such things as angels or spiritual beings.,Consider the following claims and indicate how much you agree with each one. - Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,Consider the following claims and indicate how much you agree with each one. - Every person has a special destiny defined for him or her by God or some other spiritual force in the universe.,Consider the following claims and indicate how much you agree with each one. - Killing an innocent person is morally wrong.,Consider the following claims and indicate how much you agree with each one. - Torturing an innocent person is morally wrong.,Consider the following claims and indicate how much you agree with each one. - Killing animals for human consumption is morally wrong.,Consider the following claims and indicate how much you agree with each one. - It is morally wrong to keep animals for their milk or eggs.,"What effect do you think learning these facts will have on Michael’s 
belief about whether [Field-Whether]? Specifically, will it make 
him more confident that it is false that [Field-Whether] or more 
confident that it is true that [Field-Whether]?","Now we would like you to assume that you find out that there is activity your posterior striatum cortex when you consider whether [Field-Whether]. Also, assume that the fact that Michael read in the textbook ([Field-Fact]) is true. What effect would learning these pieces of information have on your belief about whether [Field-Whether]?","What effect do you think learning this fact should have on Michael’s belief about whether [Field-Whether]? Specifically, should it make him more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","Again, we would like you to assume that you find out that there is activity your posterior striatum cortex when you consider whether [Field-Whether]. Also, assume that the fact that Michael read in the textbook ([Field-Fact]) is true. What effect should learning this fact have on your belief about whether [Field-Whether]? Specifically, should it make you more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Some diseases are caused by microorganisms called ‘germs’ that can infect a... - Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Some infections are caused by exposure to particular types of fungus that c... - Some infections are caused by exposure to particular types of fungus that can be transferred from person to person. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Humans evolved via natural selection and share common ancestry with many ot... - Humans evolved via natural selection and share common ancestry with many other species. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Because human activity puts harmful pollutants into the atmosphere, the ave... - Because human activity puts harmful pollutants into the atmosphere, the average temperature of the Earth is increasing. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - There is a God. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - There are such things as angels or spiritual beings. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Every person has a soulmate or life partner who has been preselected for hi... - Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Every person has a special destiny defined for him or her by God or some ot... - Every person has a special destiny defined for him or her by God or some other spiritual force in the universe. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Killing an innocent person is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Torturing an innocent person is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Killing animals for human consumption is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - It is morally wrong to keep animals for their milk or eggs. - Out of 100 Americans, how many believe?","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Selected Choice","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Other - Text",What is your sex?,What is your age?,"Did you have any problems with this survey? For example, did something seem to appear incorrectly or was anything confusing?",What do you think this survey is about?,Have you completed this survey or one very similar to it before? (We will credit you either way; Please be honest.),AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,True,Do,Domain,FalseNeutralTrue,Textbook,Fact
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID108_2""}","{""ImportId"":""QID108_3""}","{""ImportId"":""QID108_4""}","{""ImportId"":""QID108_5""}","{""ImportId"":""QID108_6""}","{""ImportId"":""QID108_7""}","{""ImportId"":""QID108_8""}","{""ImportId"":""QID108_9""}","{""ImportId"":""QID108_10""}","{""ImportId"":""QID108_11""}","{""ImportId"":""QID108_12""}","{""ImportId"":""QID100""}","{""ImportId"":""QID110""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID101_1_1""}","{""ImportId"":""QID101_2_1""}","{""ImportId"":""QID101_3_1""}","{""ImportId"":""QID101_4_1""}","{""ImportId"":""QID101_5_1""}","{""ImportId"":""QID101_6_1""}","{""ImportId"":""QID101_7_1""}","{""ImportId"":""QID101_8_1""}","{""ImportId"":""QID101_9_1""}","{""ImportId"":""QID101_10_1""}","{""ImportId"":""QID101_11_1""}","{""ImportId"":""QID101_12_1""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_9_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""AcceptReject""}","{""ImportId"":""SciRelMor""}","{""ImportId"":""CommonRare""}","{""ImportId"":""Claim""}","{""ImportId"":""ClaimSet""}","{""ImportId"":""Whether""}","{""ImportId"":""TargetRating""}","{""ImportId"":""True""}","{""ImportId"":""Do""}","{""ImportId"":""Domain""}","{""ImportId"":""FalseNeutralTrue""}","{""ImportId"":""Textbook""}","{""ImportId"":""Fact""}"
2014-01-21 00:46:18,2014-01-21 00:48:19,0,,121,1,2014-01-21 00:48:19,R_0r0HCdYpsqfORb7,,2,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,90,10,20,90,50,90,90,40,99,100,90,90,9,dax,1,24,no.,your beliefs,3,2,3,1,Killing an innocent person is morally wrong.,11,killing an innocent person is wrong,7,true,do,morality,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 00:47:33,2014-01-21 00:53:35,0,,362,1,2014-01-21 00:53:36,R_bCx0j6SlxWGt4fX,,2,7,5,4,4,7,5,4,4,7,7,3,3,4,4,4,4,95,20,35,40,60,50,40,50,100,100,20,20,"1,3,4",,1,37,,,3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,4,true,do,science,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 00:46:38,2014-01-21 00:54:33,0,,475,1,2014-01-21 00:54:34,R_22VPx6CqmeydQbP,,2,7,7,7,7,2,2,1,1,7,7,1,1,5,4,4,4,90,85,65,60,50,70,20,50,100,100,20,5,9,dax,1,30,no,Whether people change their beliefs when they understand how the brain works.,3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,1,true,do,morality,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to morality. For example, when a person expresses a belief that killing animals for human consumption is wrong, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to morality
2014-01-21 00:46:53,2014-01-21 00:54:47,0,,474,1,2014-01-21 00:54:47,R_bmu13bh8EIyfnnf,,2,7,5,7,6,1,1,2,1,7,7,3,1,7,4,7,4,90,50,80,50,75,60,60,60,99,99,30,1,9,dax,1,29,I did not.,Clearly about beliefs.,3,1,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,4,every person has a soulmate,2,true,do,religion,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 00:56:24,2014-01-21 00:56:31,0,,7,1,2014-01-21 00:56:32,R_9WQoj0XaDVR24tL,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21 00:48:08,2014-01-21 00:56:55,0,,527,1,2014-01-21 00:56:56,R_5jLTEQ1xNhqor0V,,2,6,5,3,4,7,7,3,6,6,6,3,3,5,5,4,5,40,40,40,60,80,50,50,40,99,99,30,20,9,dax,1,31,no,dont know,3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,6,true,do,science,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to science. For example, when a person expresses a belief that some diseases are caused by germs, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to science
2014-01-21 00:54:52,2014-01-21 01:00:12,0,,320,1,2014-01-21 01:00:13,R_a5HpBkm9Tw2vM45,,2,7,7,7,6,1,1,1,1,6,7,2,1,3,6,2,2,90,80,60,60,80,80,80,80,95,95,40,30,9,dax,2,24,No,Very interesting,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,7,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 00:57:42,2014-01-21 01:03:37,0,,355,1,2014-01-21 01:03:38,R_3UhcShNIdGELsfb,,2,7,7,7,7,1,1,1,1,7,7,1,1,4,1,4,1,98,100,60,40,60,60,20,60,90,98,25,10,9,dax,1,23,No,One's personal beliefs.,1,2,2,1,There is a God.,9,there is a God,1,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that there is a God, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
