StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q108_1,Q108_2,Q108_3,Q108_4,Q108_5,Q108_6,Q108_7,Q108_8,Q108_9,Q108_10,Q108_11,Q108_12,Q100,Q15,Q14,Q16,Q119,Q118,Q122,Q121,Q97,Q101_1_1,Q101_2_1,Q101_3_1,Q101_4_1,Q101_5_1,Q101_6_1,Q101_7_1,Q101_8_1,Q101_9_1,Q101_10_1,Q101_11_1,Q101_12_1,Q13,Q13_9_TEXT,Q19,Q20,Q81,Q82,Q102,Q103,Q106,AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,Believe,True,Wrong,Explanation,ExplanationType,NormalAbnormal
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,"Explaining Belief Study



This HIT is a psychology experiment sponsored by the Concepts and Cognition Lab at the University of California, Berkeley. In order to consent to participate, you MUST meet the following criteria:


* 18 years of age or older.

* Fluent speaker of English.

* Have not participated in this experiment before.



The experiment investigates how multiple pieces of information are integrated, and involves reading information and answering a few questions. The study takes about 8 minutes to complete, for which you will receive $0.45.

 
By selecting the “consent” button below, I acknowledge that I am 18 or older, that I am a fluent speaker of English, that I have not completed this experiment before,  that I have read this consent form, and that I agree to take part in the research.",Consider the following claims and indicate how much you agree with each one. - Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,Consider the following claims and indicate how much you agree with each one. - Some infections are caused by exposure to particular types of fungus that can be transferred from person to person.,Consider the following claims and indicate how much you agree with each one. - Humans evolved via natural selection and share common ancestry with many other species.,"Consider the following claims and indicate how much you agree with each one. - Because human activity puts harmful pollutants into the atmosphere, the average temperature of the Earth is increasing.",Consider the following claims and indicate how much you agree with each one. - There is a God.,Consider the following claims and indicate how much you agree with each one. - There are such things as angels or spiritual beings.,Consider the following claims and indicate how much you agree with each one. - Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,Consider the following claims and indicate how much you agree with each one. - Every person has a special destiny defined for him or her by God or some other spiritual force in the universe.,Consider the following claims and indicate how much you agree with each one. - Killing an innocent person is morally wrong.,Consider the following claims and indicate how much you agree with each one. - Torturing an innocent person is morally wrong.,Consider the following claims and indicate how much you agree with each one. - Killing animals for human consumption is morally wrong.,Consider the following claims and indicate how much you agree with each one. - It is morally wrong to keep animals for their milk or eggs.,"What effect do you think learning this fact will have on Michael’s belief about whether [Field-Whether]? Specifically, will it make him more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","What effect do you think learning this fact should have on Michael’s belief about whether [Field-Whether]? Specifically, should it make him more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","Now we would like you to assume that the fact in the book—that certain people are more likely to have certain attitudes toward this claim—is true. What effect would learning this fact have on your belief about whether [Field-Whether]? Specifically, would it make you more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","Again, we would like you to assume that the fact in the book—that certain people are more likely to have certain attitudes toward this claim—is true. What effect should learning this fact have on your belief about whether [Field-Whether]? Specifically, should it make you more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","What effect do you think learning this fact should have on Michael’s belief about whether [Field-Whether]? Specifically, should it make him more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","What effect do you think learning this fact will have on Michael’s belief about whether [Field-Whether]? Specifically, will it make him more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","Now we would like you to assume that the fact in the book—that certain people are more likely to have certain attitudes toward this claim—is true. What effect should learning this fact have on your belief about whether [Field-Whether]? Specifically, should it make you more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","Again, we would like you to assume that the fact in the book—that certain people are more likely to have certain attitudes toward this claim—is true. What effect would learning this fact have on your belief about whether [Field-Whether]? Specifically, would it make you more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","The fact in the preceding section was hypothetical. However, we'd like 
you to indicate how plausible you think it is. As a reminder, here is 
the fact and the claim that it was about:
CLAIM: [Field-Claim]
  
	

	
		FACT: [Field-Explanation]
	

	How plausible do you find this explanation for why people accept or reject the claim above?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Some diseases are caused by microorganisms called ‘germs’ that can infect a... - Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Some infections are caused by exposure to particular types of fungus that c... - Some infections are caused by exposure to particular types of fungus that can be transferred from person to person. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Humans evolved via natural selection and share common ancestry with many ot... - Humans evolved via natural selection and share common ancestry with many other species. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Because human activity puts harmful pollutants into the atmosphere, the ave... - Because human activity puts harmful pollutants into the atmosphere, the average temperature of the Earth is increasing. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - There is a God. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - There are such things as angels or spiritual beings. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Every person has a soulmate or life partner who has been preselected for hi... - Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Every person has a special destiny defined for him or her by God or some ot... - Every person has a special destiny defined for him or her by God or some other spiritual force in the universe. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Killing an innocent person is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Torturing an innocent person is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Killing animals for human consumption is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - It is morally wrong to keep animals for their milk or eggs. - Out of 100 Americans, how many believe?","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Selected Choice","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Other - Text","We asked you to indicate how much you agreed with a number of claims, as well as how many Americans believe those claims. Which of the following claims were NOT asked about? (You may select zero, one, or more than one item.)",Which of the following best describes Michael when he first read the claim on a website that [Field-Whether] (BEFORE he read the fact in the textbook)?,What is your sex?,What is your age?,"Did you have any problems with this survey? For example, did something seem to appear incorrectly or was anything confusing?",What do you think this survey is about?,Have you completed this survey or one very similar to it before? (We will credit you either way; Please be honest.),AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,Believe,True,Wrong,Explanation,ExplanationType,NormalAbnormal
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID108_2""}","{""ImportId"":""QID108_3""}","{""ImportId"":""QID108_4""}","{""ImportId"":""QID108_5""}","{""ImportId"":""QID108_6""}","{""ImportId"":""QID108_7""}","{""ImportId"":""QID108_8""}","{""ImportId"":""QID108_9""}","{""ImportId"":""QID108_10""}","{""ImportId"":""QID108_11""}","{""ImportId"":""QID108_12""}","{""ImportId"":""QID100""}","{""ImportId"":""QID112""}","{""ImportId"":""QID110""}","{""ImportId"":""QID113""}","{""ImportId"":""QID119""}","{""ImportId"":""QID118""}","{""ImportId"":""QID122""}","{""ImportId"":""QID121""}","{""ImportId"":""QID97""}","{""ImportId"":""QID101_1_1""}","{""ImportId"":""QID101_2_1""}","{""ImportId"":""QID101_3_1""}","{""ImportId"":""QID101_4_1""}","{""ImportId"":""QID101_5_1""}","{""ImportId"":""QID101_6_1""}","{""ImportId"":""QID101_7_1""}","{""ImportId"":""QID101_8_1""}","{""ImportId"":""QID101_9_1""}","{""ImportId"":""QID101_10_1""}","{""ImportId"":""QID101_11_1""}","{""ImportId"":""QID101_12_1""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_9_TEXT""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""AcceptReject""}","{""ImportId"":""SciRelMor""}","{""ImportId"":""CommonRare""}","{""ImportId"":""Claim""}","{""ImportId"":""ClaimSet""}","{""ImportId"":""Whether""}","{""ImportId"":""TargetRating""}","{""ImportId"":""Believe""}","{""ImportId"":""True""}","{""ImportId"":""Wrong""}","{""ImportId"":""Explanation""}","{""ImportId"":""ExplanationType""}","{""ImportId"":""NormalAbnormal""}"
2014-03-06 11:28:40,2014-03-06 11:34:16,0,,336,1,2014-03-06 11:34:17,R_8BbDlV9Qdo8Eki9,,2,6,6,1,4,7,7,4,6,7,7,3,1,,,,,6,6,4,4,1,60,60,1,50,100,99,20,90,100,99,10,1,9,dax,"4,5",1,2,47,No problems.,"Ethics, religion, and perceptions.",3,2,3,1,Killing an innocent person is morally wrong.,11,killing an innocent person is wrong,7,reject,false,true,"People are more likely to reject this claim if they have a mutated acfga2 gene – in other words, if their acfga2 gene is abnormal.",Genetic,Abnormal
2014-03-06 11:30:34,2014-03-06 11:34:57,0,,263,1,2014-03-06 11:34:58,R_emqav0YuJc0OU4J,,2,7,7,7,7,7,4,1,1,7,7,7,7,,,,,5,4,4,4,1,98,98,70,64,60,50,15,10,100,100,10,10,9,dax,"4,5",1,1,24,no,belief,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,7,reject,false,true,"People are more likely to reject this claim if they engage in “Type M lexical processing” when reasoning, which is the type of processing normally engaged in these cases.",Psychological,Normal
2014-03-06 11:29:38,2014-03-06 11:35:10,0,,332,1,2014-03-06 11:35:11,R_cvaoTYYJgd4p7UN,,2,6,6,7,6,3,3,2,2,6,7,4,2,4,3,4,4,,,,,4,95,95,60,80,50,50,25,40,99,99,20,10,9,dax,"4,5",1,2,32,,I found the scenario of Michael a little confusing.  Not really clear what the abnormal thinking was?,3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,4,believe,true,false,"People are more likely to believe this claim if they exhibit “cognitive biases in lexical processing” when reasoning, which is a type of processing that’s abnormal in these cases.",Psychological,Abnormal
2014-03-06 11:31:23,2014-03-06 11:35:56,0,,273,1,2014-03-06 11:35:57,R_b8W20aZlPKV7jp3,,2,4,5,4,4,7,7,1,2,7,7,1,1,,,,,5,3,2,2,2,60,50,40,30,60,70,50,60,100,100,10,10,9,dax,4,1,2,29,No,What I thought other people think about the questions asked.,3,1,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,4,every person has a soulmate,1,believe,true,false,People are more likely to believe this claim if they frequently have “mini-seizures” in the ventral striatum cortex in the brain: this involves an abnormal pattern of activity.,Neuro,Abnormal
2014-03-06 11:32:14,2014-03-06 11:36:50,0,,276,1,2014-03-06 11:36:51,R_dnHc1pMFhviFNQx,,2,5,5,6,4,7,7,5,7,2,6,1,1,6,4,3,4,,,,,5,100,20,40,50,60,60,80,40,99,100,5,5,9,dax,"4,5",1,1,21,Nope.,"People's opinions. ",3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,6,believe,true,false,"People are more likely to believe this claim if they did not suffer from an attachment disorder as a child – that is, if their parental attachment was normal.",Developmental,Normal
2014-03-06 11:29:17,2014-03-06 11:38:34,0,,557,1,2014-03-06 11:38:35,R_a4t1ZKMVZeLju9T,,2,6,1,4,6,4,5,,1,7,7,4,1,5,4,4,4,,,,,6,75,75,55,55,80,85,45,50,95,85,10,10,9,dax,4,3,2,61,"nothing was confusing or incorrect - I did have a problem with the ""pages"" jumping around a little",social judgements and/or prejudices,2,1,2,1,There is a God.,3,there is a God,4,believe,true,false,"People are more likely to believe this claim if they suffered from an attachment disorder as a child – that is, if their parental attachment was abnormal.",Developmental,Abnormal
2014-03-06 11:51:29,2014-03-06 11:59:03,0,,454,1,2014-03-06 11:59:03,R_eqTg57TzDbIkRut,,2,5,6,5,7,2,2,2,2,6,6,6,4,5,5,4,4,,,,,4,50,50,10,50,90,90,60,80,95,90,10,10,9,dax,"4,5",1,1,37,,what people believe,3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,2,reject,false,true,"People are more likely to reject this claim if they have ""Type M neural activity"" in the ventral striatum cortex in their brain, which is the type of activity normally observed there.",Neuro,Normal
2014-03-06 12:00:17,2014-03-06 12:05:11,0,,294,1,2014-03-06 12:05:11,R_8kTEdexvJBIhJhb,,2,7,7,7,7,1,1,2,1,7,7,2,1,,,,,4,4,4,4,2,95,80,45,55,75,60,50,60,90,90,5,2,9,dax,"4,5",1,1,34,No,No idea,3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,7,believe,true,false,"People are more likely to believe this claim if they have ""Type M neural activity"" in the ventral striatum cortex in their brain, which is the type of activity normally observed there.",Neuro,Normal
