StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q26_18,Q27_29,Q29,Q31,Q33,Q34,Q35,Q36,Q37,Q38,Q81,Q82,Q102,Q103,Q106,CommonUncommon,SeenText,ProperImproper,ReflectText
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,"Consent to Participate in Research

 

Concepts and Cognition Experiment

 

CPHS# 2013-09-5632

 

This HIT is a psychology experiment being conducted by Dillon Plunkett, a graduate student at Harvard University working in collaboration with Professor Tania Lombrozo’s Concepts and Cognition Lab at the University of California, Berkeley. In order to consent to participate, you MUST meet the following criteria:

 


	18 years of age or older.
	Fluent speaker of English.
	Have not participated in this experiment before.


 

This study is designed to test hypotheses about the nature of people's intuitive theories about the world, how they can be changed, and how they influence judgments and behavior. We also hope to learn about how you conceptually understand the world around you. Our intuitive sense of everyday objects and events in the world play a significant role in our thoughts and behaviors, and we wish to understand the nature of human cognition.

 

You may be asked to do one or more of the following tasks 1) causal learning tasks (e.g., figuring out what causes what), 2) social tasks (e.g., reasoning about others’ minds and behavior), 3) linguistic tasks (e.g., word associations and learning), 4) imagination tasks (e.g., reasoning about events counter to fact), 5) categorization/association tasks (e.g., grouping objects or stating what comes to mind given a prompt), 6) general cognitive tasks (e.g., impulse control and searching for hidden objects). You may be asked to make judgments about what you see, answer multiple choice or open-ended questions about your judgments (such as making predictions and providing explanations), observe events, and perform actions yourself (such as grouping objects). Sometimes you might watch a short video clip, look at pictures, or listen to music, and you may be asked to answer questions about how the clip or music made you feel.

You may refrain from answering any questions that make you uncomfortable and may withdraw your participation at any time even after completing the experiment without penalty. 

 

The study takes about 6 minutes to complete, for which you will receive $0.75. There are no direct benefits to you as a participant, but this research will help us understand various cognitive processes, which may benefit society in a number of ways, including influencing legal and public policy. 

 

We will not be asking for any personally identifying information, and we will handle responses as confidentially as possible. Worker IDs will never be tied to your responses on this survey, and IP addresses will not be collected for studies that ask potentially sensitive questions. However, we cannot guarantee the confidentiality of information transmitted over the Internet. To minimize this risk, data containing anything that might be personally identifiable (e.g. Worker IDs) will be encrypted on transfer and storage and will only be accessible to qualified lab personnel. We will be keeping data collected as part of this experiment indefinitely. This anonymized data (containing neither Worker IDs nor IP addresses) may be shared with the scientific community.

 

If you have any questions about the study, feel free to contact the study investigator: Dillon Plunkett at plunkett@g.harvard.edu, or the principal investigator: Tania Lombrozo at lombrozo@berkeley.edu. If you have concerns about your rights as a participant in this experiment, please contact UC Berkeley’s Committee for Protection of Human Subjects at (510) 642-7461 or subjects@berkeley.edu.

 

By selecting the “consent” option below, I acknowledge that I am 18 or older, that I am a fluent speaker of English, that I have not completed this experiment before, that I have read this consent form, and that I agree to take part in the research.","On a 1 to 7 scale where 1 represents “I am a confident atheist” and 7 represents “I am a confident believer”, to what extent do you believe that God exists? - To what extent do you believe that God exists?","On a 1 to 7 scale where 1 represents ""no confidence whatsoever"" and 7 represents ""total confidence,"" how much confidence do you place in the existing
evidence that shows a connection between activity in the temporal lobe and
belief in God? - Confidence in existing evidence","Before participating in this study, had you
previously heard that there is a connection between activity in the temporal
lobe and belief in God?","What effect do you think learning this would
have on Michael’s belief about whether there is a God?",What effect do you think learning this should have on Michael’s belief about whether there is a God?,"How plausible do you think results of the new
study are?","Regardlessof how plausible you think the results of the new study are, how real","According to the new study, how common was the
pattern of temporal lobe activity associated with belief in God?","According to the new study, which of the
following was true about the pattern of temporal lobe activity associated with
belief in God?",Did the new study agree with the evidence we currently have about the connection between the temporal lobes and religious belief or contradict the evidence we currently have?,What is your sex?,What is your age?,"Did you have any problems with this survey? For example, did something seem to appear incorrectly or was anything confusing?",What do you think this survey is about?,Have you completed this survey or one very similar to it before? (We will credit you either way. Please be honest.),CommonUncommon,SeenText,ProperImproper,ReflectText
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID123_18""}","{""ImportId"":""QID124_29""}","{""ImportId"":""QID126""}","{""ImportId"":""QID128""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""CommonUncommon""}","{""ImportId"":""SeenText""}","{""ImportId"":""ProperImproper""}","{""ImportId"":""ReflectText""}"
2017-03-25 11:16:51,2017-03-25 11:17:32,0,100,40,1,2017-03-25 11:17:33,R_3EuT6bfwG9aXKd7,anonymous,2,5,5,3,2,2,5,3,4,1,2,1,21,NO,"not sure ",1,uncommon,seen in a minority of people,proper,the operation of a brain system doing what it evolved to do
2017-03-25 11:47:50,2017-03-25 11:48:45,0,100,55,1,2017-03-25 11:48:47,R_1LbfcShhar8fcgr,anonymous,2,5,7,2,5,3,6,4,3,2,1,1,24,no,unsure,3,common,seen in a large majority of people,improper,a defect in the operation of a brain system
2017-03-25 11:46:58,2017-03-25 11:49:45,0,100,167,1,2017-03-25 11:49:47,R_2tuii5WwDtSLfnm,anonymous,2,4,4,4,3,3,3,5,2,2,1,2,56,,,3,common,seen in a large majority of people,improper,a defect in the operation of a brain system
2017-03-25 11:48:19,2017-03-25 11:51:05,0,100,165,1,2017-03-25 11:51:06,R_5aRYs4REQUvg3o5,anonymous,2,5,4,4,6,4,5,6,4,1,1,1,26,"No, everything functioned properly.","I would guess how we reconcile our religious beliefs? Not sure, honestly.",3,uncommon,seen in a minority of people,proper,the operation of a brain system doing what it evolved to do
2017-03-25 11:48:28,2017-03-25 11:52:04,0,100,216,1,2017-03-25 11:52:05,R_BStv6weVd1vGhQR,anonymous,2,7,3,4,6,6,5,5,1,1,1,2,52,no,I don't know,3,uncommon,seen in a minority of people,improper,a defect in the operation of a brain system
2017-03-25 11:51:14,2017-03-25 11:52:57,0,100,102,1,2017-03-25 11:52:59,R_3pgvsgNJ38QfiZg,anonymous,2,4,2,4,3,4,5,5,2,1,2,1,26,no,unsure,3,uncommon,seen in a minority of people,proper,the operation of a brain system doing what it evolved to do
2017-03-25 11:49:48,2017-03-25 11:53:12,0,100,204,1,2017-03-25 11:53:14,R_3huWoKYN1D4t1hm,anonymous,2,7,7,4,7,7,6,6,1,1,1,2,40,"Everything was working well. ","People's belief system. ",3,common,seen in a large majority of people,proper,the operation of a brain system doing what it evolved to do
2017-03-25 12:00:46,2017-03-25 12:02:45,0,100,119,1,2017-03-25 12:02:46,R_1jTeQI7UoC5OjpT,anonymous,2,2,3,4,3,4,2,3,4,2,2,2,22,no,I don't know,3,uncommon,seen in a minority of people,improper,a defect in the operation of a brain system
