StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q26_18,Q13,Q13_9_TEXT,Q19,Q81,Q82,Q102,Q103,Q106,GodAtheism,GodAtheismLanguage,NormalAbnormal,PossessLack,Explanation
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,"Explaining Belief Study



This HIT is a psychology experiment sponsored by the Concepts and Cognition Lab at the University of California, Berkeley. In order to consent to participate, you MUST meet the following criteria:


* 18 years of age or older.

* Fluent speaker of English.

* Have not participated in this experiment before.



The experiment investigates how multiple pieces of information are integrated, and involves reading information and answering a few questions. The study takes about 6 minutes to complete, for which you will receive $0.40.

 
By selecting the “consent” button below, I acknowledge that I am 18 or older, that I am a fluent speaker of English, that I have not completed this experiment before,  that I have read this consent form, and that I agree to take part in the research.",Consider the following claims that refer to the story above and indicate how much you agree with each one. - This would be an important finding,Consider the following claims that refer to the story above and indicate how much you agree with each one. - This finding would be appropriate to teach in a high school science class,Consider the following claims that refer to the story above and indicate how much you agree with each one. - This finding would be appropriate to teach in a high school theology class,Consider the following claims that refer to the story above and indicate how much you agree with each one. - I would accept that this finding was probably true,Consider the following claims that refer to the story above and indicate how much you agree with each one. - I think it is appropriate for the government to fund research of this type,Consider the following claims that refer to the story above and indicate how much you agree with each one. - It would be important to know who funded this research,"Consider the following claims that refer to the story above and indicate how much you agree with each one. - Before accepting this finding, it would be important to see it replicated by an independent team of researchers","On a 1 to 7 scale where 1 represents “I am a confident atheist” and 7 represents “I am a confident believer”, to what extent do you believe that God exists? - To what extent do you believe that God exists?","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Selected Choice","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Other - Text","We asked you to indicate how much you agreed with a number of claims. Which of the following claims were NOT asked about? (You may select zero, one, or more than one item.)",What is your sex?,What is your age?,"Did you have any problems with this survey? For example, did something seem to appear incorrectly or was anything confusing?",What do you think this survey is about?,Have you completed this survey or one very similar to it before? (We will credit you either way; Please be honest.),GodAtheism,GodAtheismLanguage,NormalAbnormal,PossessLack,Explanation
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID124_2""}","{""ImportId"":""QID124_3""}","{""ImportId"":""QID124_4""}","{""ImportId"":""QID124_5""}","{""ImportId"":""QID124_6""}","{""ImportId"":""QID124_7""}","{""ImportId"":""QID123_18""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_9_TEXT""}","{""ImportId"":""QID115""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""GodAtheism""}","{""ImportId"":""GodAtheismLanguage""}","{""ImportId"":""NormalAbnormal""}","{""ImportId"":""PossessLack""}","{""ImportId"":""Explanation""}"
2014-05-04 10:50:18,2014-05-04 10:52:06,0,,108,1,2014-05-04 10:52:06,R_1z8uU3a0AttuivH,,2,19,16,15,15,18,21,21,1,9,dax,6,2,20,,How people's beliefs affect their reaction to scientific studies,3,Atheism,be atheists,Abnormal,Possess,Suppose a team of scientists discovers that people are more likely to be atheists if the ventral striatum cortex in their brain suffers from mini-seizures. Mini-seizures reflect an abnormality in that brain region. The team has retested and confirmed the discovery in two additional experiments.
2014-05-04 10:52:22,2014-05-04 10:54:43,0,,141,1,2014-05-04 10:54:43,R_8iRsyqebdiCBkhf,,2,21,16,19,18,18,19,20,2,9,dax,6,1,26,,"Science vs religion. Specifically, science definitely ""intruding"" on religion and religious beliefs.",3,God,believe in God,Normal,Lack,Suppose a team of scientists discovers that people are more likely to believe in God if the ventral striatum cortex in their brain never suffers from mini-seizures. Mini-seizures reflect an abnormality in that brain region. The team has retested and confirmed the discovery in two additional experiments.
2014-05-04 10:54:44,2014-05-04 10:57:34,0,,170,1,2014-05-04 10:57:35,R_6G3mh4cz2OHboEd,,2,19,16,15,17,18,21,21,1,9,dax,7,2,29,,how people feel about research studies,3,Atheism,be atheists,Normal,Possess,"Suppose a team of scientists discovers that people are more likely to be atheists if the ventral striatum cortex in their brain exhibits ""Type M neural activity"". Type M activity is the type of activity normally observed in that brain region. The team has retested and confirmed the discovery in two additional experiments."
2014-05-04 10:57:52,2014-05-04 11:00:16,0,,144,1,2014-05-04 11:00:17,R_3O7811JCu9WksPb,,2,21,19,19,18,15,21,21,1,9,dax,7,1,28,,Religion and science,3,God,believe in God,Abnormal,Lack,"Suppose a team of scientists discovers that people are more likely to believe in God if the ventral striatum cortex in their brain fails to exhibit ""Type M neural activity"". Type M activity is the type of activity normally observed in that brain region. The team has retested and confirmed the discovery in two additional experiments."
2014-05-04 10:58:11,2014-05-04 11:02:46,0,,275,1,2014-05-04 11:02:47,R_37Po1xgioBvJrbT,,2,17,18,18,19,15,20,20,4,9,dax,"6,7",1,34,no,If Americans are OK with being researched by the government. I think they should steer away from such things.,3,Atheism,be atheists,Normal,Possess,"Suppose a team of scientists discovers that people are more likely to be atheists if the ventral striatum cortex in their brain exhibits ""Type M neural activity"". Type M activity is the type of activity normally observed in that brain region. The team has retested and confirmed the discovery in two additional experiments."
2014-05-04 11:01:40,2014-05-04 11:04:35,0,,175,1,2014-05-04 11:04:36,R_80lo8VEiXxvgrMp,,2,19,19,20,18,19,19,18,2,9,dax,6,1,19,,,3,God,believe in God,Abnormal,Lack,"Suppose a team of scientists discovers that people are more likely to believe in God if the ventral striatum cortex in their brain fails to exhibit ""Type M neural activity"". Type M activity is the type of activity normally observed in that brain region. The team has retested and confirmed the discovery in two additional experiments."
2014-05-04 11:05:44,2014-05-04 11:09:36,0,,232,1,2014-05-04 11:09:36,R_6JapyqiQNt0hBv7,,2,19,20,19,19,15,20,21,6,9,dax,"6,7",2,47,no,what we think about scientific studies,3,Atheism,be atheists,Normal,Possess,"Suppose a team of scientists discovers that people are more likely to be atheists if the ventral striatum cortex in their brain exhibits ""Type M neural activity"". Type M activity is the type of activity normally observed in that brain region. The team has retested and confirmed the discovery in two additional experiments."
2014-05-04 11:14:09,2014-05-04 11:19:12,0,,303,1,2014-05-04 11:19:12,R_6SDckOerrDyBvGR,,2,19,16,18,15,16,17,20,1,9,dax,"6,7",1,26,"No. Everything went smoothly. ","This survey asks the survey taker whether they would believe something just based on scientific information.  ",3,God,believe in God,Abnormal,Lack,"Suppose a team of scientists discovers that people are more likely to believe in God if the ventral striatum cortex in their brain fails to exhibit ""Type M neural activity"". Type M activity is the type of activity normally observed in that brain region. The team has retested and confirmed the discovery in two additional experiments."
