StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q108_1,Q108_2,Q108_3,Q108_4,Q108_5,Q108_6,Q108_7,Q108_8,Q108_9,Q108_10,Q108_11,Q108_12,Q100,Q14,Q15,Q16,Q97,Q101_1_1,Q101_2_1,Q101_3_1,Q101_4_1,Q101_5_1,Q101_6_1,Q101_7_1,Q101_8_1,Q101_9_1,Q101_10_1,Q101_11_1,Q101_12_1,Q13,Q13_9_TEXT,Q81,Q82,Q102,Q103,Q106,AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,NormalAbnormal,PsychBrain,Explanation,True,Do
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,"Explaining Belief Study

	

	This HIT is a psychology experiment sponsored by the Concepts and Cognition Lab at the University of California, Berkeley. In order to consent to participate, you MUST meet the following criteria:
	
		

		* 18 years of age or older.
	
		* Fluent speaker of English.
	
		* Have not participated in this experiment before.
	
		

		The experiment investigates how multiple pieces of information are integrated, and involves reading information and answering a few questions. The study takes about 7 minutes to complete, for which you will receive $0.40.
	
		

		
			By selecting the “consent” button below, I acknowledge that I am 18 or older, that I am a fluent speaker of English, that I have not completed this experiment before,  that I have read this consent form, and that I agree to take part in the research.",Consider the following claims and indicate how much you agree with each one. - Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,Consider the following claims and indicate how much you agree with each one. - Some infections are caused by exposure to particular types of fungus that can be transferred from person to person.,Consider the following claims and indicate how much you agree with each one. - Humans evolved via natural selection and share common ancestry with many other species.,"Consider the following claims and indicate how much you agree with each one. - Because human activity puts harmful pollutants into the atmosphere, the average temperature of the Earth is increasing.",Consider the following claims and indicate how much you agree with each one. - There is a God.,Consider the following claims and indicate how much you agree with each one. - There are such things as angels or spiritual beings.,Consider the following claims and indicate how much you agree with each one. - Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,Consider the following claims and indicate how much you agree with each one. - Every person has a special destiny defined for him or her by God or some other spiritual force in the universe.,Consider the following claims and indicate how much you agree with each one. - Killing an innocent person is morally wrong.,Consider the following claims and indicate how much you agree with each one. - Torturing an innocent person is morally wrong.,Consider the following claims and indicate how much you agree with each one. - Killing animals for human consumption is morally wrong.,Consider the following claims and indicate how much you agree with each one. - It is morally wrong to keep animals for their milk or eggs.,"What effect do you think learning this fact will have on Michael’s belief about whether [Field-Whether]? Specifically, will it make him more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","Now we would like you to assume that the fact in the book—that certain people are more likely to have certain attitudes toward this claim—is true. What effect would learning this fact have on your belief about whether [Field-Whether]? Specifically, would it make you more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","What effect do you think learning this fact should have on Michael’s belief about whether [Field-Whether]? Specifically, should it make him more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","Now we would like you to assume that the fact in the book—that certain people are more likely to have certain attitudes toward this claim—is true. What effect should learning this fact have on your belief about whether [Field-Whether]? Specifically, should it make you more confident that it is false that [Field-Whether] or more confident that it is true that [Field-Whether]?","The fact in the preceding section was hypothetical. However, we'd like 
you to indicate how plausible you think it is. As a reminder, here is 
the fact and the claim that it was about:
CLAIM: [Field-Claim]
  
	

	
		FACT: [Field-Explanation]
	

	How plausible do you find this explanation for why people accept or reject the claim above?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Some diseases are caused by microorganisms called ‘germs’ that can infect a... - Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Some infections are caused by exposure to particular types of fungus that c... - Some infections are caused by exposure to particular types of fungus that can be transferred from person to person. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Humans evolved via natural selection and share common ancestry with many ot... - Humans evolved via natural selection and share common ancestry with many other species. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Because human activity puts harmful pollutants into the atmosphere, the ave... - Because human activity puts harmful pollutants into the atmosphere, the average temperature of the Earth is increasing. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - There is a God. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - There are such things as angels or spiritual beings. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Every person has a soulmate or life partner who has been preselected for hi... - Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Every person has a special destiny defined for him or her by God or some ot... - Every person has a special destiny defined for him or her by God or some other spiritual force in the universe. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Killing an innocent person is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Torturing an innocent person is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Killing animals for human consumption is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - It is morally wrong to keep animals for their milk or eggs. - Out of 100 Americans, how many believe?","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Selected Choice","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Other - Text",What is your sex?,What is your age?,"Did you have any problems with this survey? For example, did something seem to appear incorrectly or was anything confusing?",What do you think this survey is about?,Have you completed this survey or one very similar to it before? (We will credit you either way; Please be honest.),AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,NormalAbnormal,PsychBrain,Explanation,True,Do
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID108_2""}","{""ImportId"":""QID108_3""}","{""ImportId"":""QID108_4""}","{""ImportId"":""QID108_5""}","{""ImportId"":""QID108_6""}","{""ImportId"":""QID108_7""}","{""ImportId"":""QID108_8""}","{""ImportId"":""QID108_9""}","{""ImportId"":""QID108_10""}","{""ImportId"":""QID108_11""}","{""ImportId"":""QID108_12""}","{""ImportId"":""QID100""}","{""ImportId"":""QID110""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID97""}","{""ImportId"":""QID101_1_1""}","{""ImportId"":""QID101_2_1""}","{""ImportId"":""QID101_3_1""}","{""ImportId"":""QID101_4_1""}","{""ImportId"":""QID101_5_1""}","{""ImportId"":""QID101_6_1""}","{""ImportId"":""QID101_7_1""}","{""ImportId"":""QID101_8_1""}","{""ImportId"":""QID101_9_1""}","{""ImportId"":""QID101_10_1""}","{""ImportId"":""QID101_11_1""}","{""ImportId"":""QID101_12_1""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_9_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""AcceptReject""}","{""ImportId"":""SciRelMor""}","{""ImportId"":""CommonRare""}","{""ImportId"":""Claim""}","{""ImportId"":""ClaimSet""}","{""ImportId"":""Whether""}","{""ImportId"":""TargetRating""}","{""ImportId"":""NormalAbnormal""}","{""ImportId"":""PsychBrain""}","{""ImportId"":""Explanation""}","{""ImportId"":""True""}","{""ImportId"":""Do""}"
2014-01-10 15:00:27,2014-01-10 15:00:31,9,,4,1,2014-01-10 15:00:31,R_bmFjdRucCN74RM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10 15:01:23,2014-01-10 15:01:27,9,,4,1,2014-01-10 15:01:27,R_3J0LsuEnHrV11fn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-12 01:19:20,2014-01-12 01:24:34,0,,314,1,2014-01-12 01:24:34,R_0qZaR5xs6DG78wZ,,2,7,7,7,7,2,4,1,1,7,7,5,1,6,7,6,7,1,100,100,80,100,60,75,40,40,98,100,20,5,9,dax,2,29,no,morals,3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,1,Abnormal,Brain,People are more likely to reject this claim if they frequently have “mini-seizures” in the ventral striatum cortex in the brain.,false,don't
2014-01-12 01:25:23,2014-01-12 01:34:09,0,,526,1,2014-01-12 01:34:09,R_6tXGVoj7CY8uJGR,,2,5,5,3,3,7,6,6,5,6,6,2,2,5,3,5,4,5,80,75,40,50,65,50,55,40,95,95,35,35,9,dax,1,37,no,im not sure,3,1,2,1,There is a God.,3,there is a God,7,Abnormal,Psych,"People are more likely to believe this claim if they are subject to a particular ""cognitive bias"", namely a tendency to embrace authority and find comfort in the idea that someone is watching over them.",true,do
2014-01-12 01:33:51,2014-01-12 01:37:15,0,,204,1,2014-01-12 01:37:15,R_enzB9kGpdyCdjXn,,2,7,7,5,7,7,7,7,7,7,7,4,1,5,6,5,4,6,78,50,65,60,75,70,40,75,98,95,50,50,9,dax,2,30,no,oppinions,3,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,4,Normal,Psych,"People are more likely to reject this claim if they show a ""cognitive pattern"" of low levels of empathy and finding it natural to think of the natural world as having a fixed hierarchy.",false,don't
2014-01-12 01:40:23,2014-01-12 01:46:30,0,,367,1,2014-01-12 01:46:30,R_eF1JpKJAeEwUIrH,,2,5,7,4,4,7,5,6,5,6,5,7,3,2,5,2,5,6,58,65,80,40,100,72,60,55,57,80,90,74,9,dax,1,23,no,Good.,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,5,Normal,Brain,"People are more likely to reject this claim if they have ""Type I neural activity"" in the ventral striatum cortex in their brain.",false,don't
2014-01-12 01:48:25,2014-01-12 01:54:54,0,,389,1,2014-01-12 01:54:54,R_5pdTGWiIWyLtJWt,,2,5,5,4,2,6,5,4,5,6,6,3,3,5,6,6,5,5,60,50,60,50,60,40,50,50,100,100,20,20,9,dax,1,34,no everything worked fine,people's belief on various social and religious issues,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,5,Abnormal,Psych,"People are more likely to reject this claim if they are subject to a particular ""cognitive bias"", namely a tendency to reject authority and find comfort in the idea that good and bad outcomes are beyond their control.",false,don't
2014-01-12 01:55:52,2014-01-12 01:58:55,0,,183,1,2014-01-12 01:58:55,R_3UBMMU0PKyC9pc1,,2,7,7,6,7,5,5,4,6,7,7,1,1,6,6,5,6,1,99,100,50,40,75,25,50,50,99,90,15,15,9,dax,1,23,None,"It seemed interesting and unique compared to other mturk surveys. ",3,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,6,Abnormal,Brain,People are more likely to reject this claim if they frequently have “mini-seizures” in the ventral striatum cortex in the brain.,false,don't
