participant_id,consent,plausible,attention_check,comp_check_1,comp_check_2,done_before,sex,age,valence,domain,prevalence,own_belief,discipline,condition,michael_would,michael_should,you_would,you_should,pass_old_imc,pass_check,agrees_with_michael
R_8BbDlV9Qdo8Eki9,consent,1,dax,45,1,no,female,47,reject,moral,common,3,genetic,abnormal,-2,-2,0,0,TRUE,TRUE,FALSE
R_emqav0YuJc0OU4J,consent,1,dax,45,1,no,male,24,reject,scientific,common,3,psychological,normal,-1,-0,0,0,TRUE,TRUE,FALSE
R_cvaoTYYJgd4p7UN,consent,4,dax,45,1,no,female,32,accept,moral,rare,0,psychological,abnormal,0,-1,-0,-0,TRUE,TRUE,FALSE
R_b8W20aZlPKV7jp3,consent,2,dax,4,1,no,female,29,accept,religious,rare,-3,neuroscience,abnormal,1,-1,2,2,TRUE,FALSE,FALSE
R_dnHc1pMFhviFNQx,consent,5,dax,45,1,no,male,21,accept,scientific,rare,2,developmental,normal,2,0,-1,0,TRUE,TRUE,TRUE
R_a4t1ZKMVZeLju9T,consent,6,dax,4,3,maybe,female,61,accept,religious,common,0,developmental,abnormal,1,0,-0,-0,TRUE,FALSE,FALSE
R_eqTg57TzDbIkRut,consent,4,dax,45,1,no,male,37,reject,religious,rare,-2,neuroscience,normal,-1,-1,-0,-0,TRUE,TRUE,TRUE
R_8kTEdexvJBIhJhb,consent,2,dax,45,1,no,male,34,accept,scientific,common,3,neuroscience,normal,0,0,0,0,TRUE,TRUE,TRUE
R_cGFy8sAk708Vd2d,consent,5,dax,4,2,no,male,21,reject,scientific,rare,3,developmental,normal,-0,-0,1,1,TRUE,FALSE,FALSE
R_agD0cUPDEF4tqNT,consent,6,dax,45,1,no,male,27,accept,moral,rare,-3,psychological,abnormal,0,-2,-0,-0,TRUE,TRUE,FALSE
R_08l9NvZdnERtRYN,consent,2,dax,45,1,maybe,male,28,reject,moral,rare,-1,neuroscience,abnormal,1,-0,-0,-0,TRUE,TRUE,TRUE
R_1Ly8O97vYNA1rOl,consent,1,dax,45,1,no,male,30,accept,religious,common,3,developmental,abnormal,0,0,0,0,TRUE,TRUE,TRUE
R_56f3wyfmeTRRZgp,consent,1,dax,45,1,no,female,23,reject,religious,common,-3,genetic,normal,-0,-0,-2,-0,TRUE,TRUE,TRUE
R_9ZeRJQkp3U0Iskd,consent,4,dax,45,2,maybe,female,62,reject,moral,common,1,genetic,abnormal,-3,3,3,3,TRUE,FALSE,FALSE
R_0Ban7eG7z1y95Wt,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_3ORElMm1Pcm4Cj3,consent,1,dax,45,1,maybe,male,25,accept,moral,common,3,psychological,normal,0,1,0,0,TRUE,TRUE,TRUE
R_9Rk5U6nL76zhqDP,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_0JqGnxu8DbbUqep,consent,5,dax,45,1,maybe,male,25,reject,moral,rare,-3,developmental,normal,2,2,3,3,TRUE,TRUE,TRUE
R_571cKYMSzirXoPz,consent,5,dax,45,1,no,male,20,reject,religious,common,-1,genetic,abnormal,1,2,-0,2,TRUE,TRUE,TRUE
