participant_id,consent,belief_in_god,conf_in_existing,heard_of_existing,michael_should,michael_would,plausible,realistic,common_check,proper_check,agree_check,done_before,sex,age,common,proper,theism,pass.common,pass.proper,pass.agree
R_3EuT6bfwG9aXKd7,consent,1,5,3,-2,-2,1,-1,4,1,2,yes,male,21,uncommon,proper,theist,TRUE,TRUE,FALSE
R_1LbfcShhar8fcgr,consent,1,7,2,-1,1,2,0,3,2,1,no,male,24,common,improper,theist,FALSE,TRUE,TRUE
R_2tuii5WwDtSLfnm,consent,0,4,4,-1,-1,-1,1,2,2,1,no,female,56,common,improper,neither,FALSE,TRUE,TRUE
R_5aRYs4REQUvg3o5,consent,1,4,4,0,2,1,2,4,1,1,no,male,26,uncommon,proper,theist,TRUE,TRUE,TRUE
R_BStv6weVd1vGhQR,consent,3,3,4,2,2,1,1,1,1,1,no,female,52,uncommon,improper,theist,FALSE,FALSE,TRUE
R_3pgvsgNJ38QfiZg,consent,0,2,4,0,-1,1,1,2,1,2,no,male,26,uncommon,proper,neither,FALSE,TRUE,FALSE
R_3huWoKYN1D4t1hm,consent,3,7,4,3,3,2,2,1,1,1,no,female,40,common,proper,theist,TRUE,TRUE,TRUE
R_1jTeQI7UoC5OjpT,consent,-2,3,4,0,-1,-2,-1,4,2,2,no,female,22,uncommon,improper,atheist,TRUE,TRUE,FALSE
R_85HNzTvsFGBW7vP,consent,-1,5,4,-2,0,2,2,1,2,2,no,male,56,common,improper,atheist,TRUE,TRUE,FALSE
R_2at0L2Rfa8f44lv,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1LclSjogy2XNCUq,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3JIT9AN1yrg9mgq,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3qPuf9CCDIr6syd,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1nSGf0HFmQ4WDr8,consent,1,2,4,2,0,-1,-2,3,1,1,no,female,27,uncommon,proper,theist,FALSE,TRUE,TRUE
R_3kuDGZlaJ66Nldy,consent,-2,5,3,0,0,2,1,2,1,1,no,male,28,common,proper,atheist,FALSE,TRUE,TRUE
R_1qVVbHYUrHzC8RP,consent,2,6,2,1,0,1,1,4,2,1,no,female,30,uncommon,proper,theist,TRUE,FALSE,TRUE
R_2rVFb733TN1sIUy,consent,-1,5,4,-1,-1,1,0,1,1,1,no,male,35,common,proper,atheist,TRUE,TRUE,TRUE
R_2QMauvbjWvN462D,consent,1,3,2,0,0,1,-1,2,1,1,no,male,22,uncommon,proper,theist,FALSE,TRUE,TRUE
R_SDEigfIL807n8VH,consent,2,5,3,0,1,2,1,2,1,1,no,male,25,uncommon,improper,theist,FALSE,FALSE,TRUE
R_RrYhpbTkxZXbcd3,consent,-3,1,4,0,0,0,0,2,2,2,no,male,39,common,proper,atheist,FALSE,FALSE,FALSE
R_1RMH5T9mSpUd5MB,consent,-3,6,2,-2,0,2,2,2,2,1,no,male,34,common,improper,atheist,FALSE,TRUE,TRUE
R_1eVr5HdiY9phgkl,consent,-3,1,3,0,0,1,1,1,2,1,no,male,27,common,improper,atheist,TRUE,TRUE,TRUE
R_2VfMl4ntFzQVQVA,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1ghmMVIeYuRGDPp,consent,-2,6,4,-2,0,1,-1,2,2,1,no,female,27,uncommon,improper,atheist,FALSE,TRUE,TRUE
R_2qeXsQkEph9GkM8,consent,1,5,4,2,2,1,2,1,1,1,no,female,43,common,improper,theist,TRUE,FALSE,TRUE
R_2sbsUumvfVPJPQk,consent,-2,4,4,1,1,-1,-1,1,1,1,no,male,34,common,proper,atheist,TRUE,TRUE,TRUE
R_1rlw7JYP1oaNGKU,consent,-3,3,4,-2,0,-1,1,4,2,1,no,male,30,uncommon,improper,atheist,TRUE,TRUE,TRUE
R_3mmgPmg14MuznOZ,consent,3,1,4,3,3,-3,-3,4,1,1,no,female,52,common,improper,theist,FALSE,FALSE,TRUE
R_2QALI4YEH9ovEUx,consent,3,1,4,0,0,2,-1,1,1,1,no,male,31,common,proper,theist,TRUE,TRUE,TRUE
R_2TX10fVaIfjnrtb,consent,-3,4,4,-3,-2,-1,1,4,1,1,no,female,25,uncommon,proper,atheist,TRUE,TRUE,TRUE
R_1r1UjDvJpY11tyl,consent,0,1,4,0,0,0,1,2,1,1,no,male,34,common,proper,neither,FALSE,TRUE,TRUE
R_0MWNyHeVoGv1jR7,consent,2,5,4,-2,-1,1,-1,2,1,2,no,male,31,uncommon,proper,theist,FALSE,TRUE,FALSE
R_1pJq2ti0twMsIhh,consent,-1,4,4,1,2,2,0,1,1,1,no,female,33,uncommon,improper,atheist,FALSE,FALSE,TRUE
R_1MKGNwngwF2p4n2,consent,1,5,4,0,0,-1,-1,2,2,1,no,female,23,common,improper,theist,FALSE,TRUE,TRUE
