participant_id,consent,important,science_class,theology_class,accept,gov_funding,who_funded,replicated,belief_likert,attention_check,reading_check,sex,age,done_before,explained_belief,condition,presence,composite_trust,theism,attention_correct
R_1z8uU3a0AttuivH,consent,1,-2,-3,-3,0,-3,-3,-3,dax,6,female,20,no,atheism,abnormal,possess,-1.8571428571428572,atheist,TRUE
R_8iRsyqebdiCBkhf,consent,3,-2,1,0,0,-1,-2,-2,dax,6,male,26,no,god,normal,lack,-0.14285714285714285,atheist,TRUE
R_6G3mh4cz2OHboEd,consent,1,-2,-3,-1,0,-3,-3,-3,dax,7,female,29,no,atheism,normal,possess,-1.5714285714285714,atheist,TRUE
R_3O7811JCu9WksPb,consent,3,1,1,0,-3,-3,-3,-3,dax,7,male,28,no,god,abnormal,lack,-0.5714285714285714,atheist,TRUE
R_37Po1xgioBvJrbT,consent,-1,0,0,1,-3,-2,-2,0,dax,67,male,34,no,atheism,normal,possess,-1,neither,TRUE
R_80lo8VEiXxvgrMp,consent,1,1,2,0,1,-1,-0,-2,dax,6,male,19,no,god,abnormal,lack,0.5714285714285714,atheist,TRUE
R_6JapyqiQNt0hBv7,consent,1,2,1,1,-3,-2,-3,2,dax,67,female,47,no,atheism,normal,possess,-0.42857142857142855,theist,TRUE
R_6SDckOerrDyBvGR,consent,1,-2,0,-3,-2,1,-2,-3,dax,67,male,26,no,god,abnormal,lack,-1,atheist,TRUE
R_2a85XMR7dQ1xfzT,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_5alBMLnf5kVDUnH,consent,2,0,0,1,2,-2,-2,1,dax,7,male,48,no,god,abnormal,lack,0.14285714285714285,theist,TRUE
R_8llteNnTFUsw4Qd,consent,2,3,2,2,2,-2,-1,3,dax,5,female,34,NA,atheism,normal,possess,1.1428571428571428,theist,TRUE
R_bOebSk8qcvMgWYB,consent,2,1,1,0,1,-2,-2,3,dax,6,female,66,no,atheism,abnormal,possess,0.14285714285714285,theist,TRUE
R_2aSUvrtxjgusWkR,consent,3,-1,2,3,1,-3,-2,3,dax,0,male,45,no,god,normal,lack,0.42857142857142855,theist,TRUE
R_8680wk7lLFt7bdH,consent,-2,-2,-2,-2,0,-3,-3,3,dax,6,female,53,no,atheism,abnormal,lack,-2,theist,TRUE
R_6YvUiwptAELxPkF,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_cC6UMVjtbf4Fk2h,consent,1,0,1,-1,-3,-3,-3,2,dax,6,female,43,no,god,normal,possess,-1.1428571428571428,theist,TRUE
R_87lmrEkMycRNwEZ,consent,3,3,3,3,3,-3,-3,-3,dax,3,male,24,no,atheism,normal,lack,1.2857142857142858,atheist,TRUE
R_0k31OABkAedNcmF,consent,0,-1,-1,NA,-2,-0,-0,-2,dax,56,male,23,no,atheism,abnormal,possess,NA,atheist,TRUE
R_bpB2xz5A5mjDDxz,consent,-2,-3,-2,-3,-2,-3,-3,0,dax,6,male,55,no,god,normal,possess,-2.5714285714285716,neither,TRUE
R_6GuEPtxE6QoQeWh,consent,2,2,1,1,2,-3,-2,3,dax,6,male,23,no,god,normal,lack,0.42857142857142855,theist,TRUE
R_a2AyNKxswO6wrQh,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_5vvBt3LQFRG0Qh7,consent,2,2,1,0,0,-2,-3,3,Dax,6,female,69,no,atheism,abnormal,lack,0,theist,TRUE
